#            ID                RA              DEC         z          FLUX_U       FLUXERR_U          FLUX_G       FLUXERR_G          FLUX_R       FLUXERR_R          FLUX_J       FLUXERR_J         FLUX_Ks      FLUXERR_Ks   
      CDFb-BN88     13.4702916667    +12.397569444    2.2615    8.241381e-04    5.929663e-06    1.541700e-03    3.507761e-05    2.013724e-03    4.753681e-05             nan             nan             nan             nan   
     HDF-BX1055    188.9982916667    +62.218750000    2.4899    3.191538e-04    5.929663e-06    6.729767e-04    3.507761e-05    8.394600e-04    4.753681e-05             nan             nan             nan             nan   
     HDF-BX1084    189.0565416667    +62.205966667    2.4403    7.447320e-04    5.929663e-06    1.445440e-03    3.507761e-05    1.836538e-03    4.753681e-05             nan             nan             nan             nan   
     HDF-BX1085    189.0555416667    +62.204530556    2.2407    1.905461e-04    5.929663e-06    4.246196e-04    3.507761e-05    5.754399e-04    4.753681e-05             nan             nan             nan             nan   
     HDF-BX1086    189.0558750000    +62.205233333    2.4435    1.270574e-04    5.929663e-06    3.467369e-04    3.507761e-05    5.058247e-04    4.753681e-05             nan             nan             nan             nan   
     HDF-BX1277    189.3274583333    +62.165427778    2.2713    5.152286e-04    5.929663e-06    9.036495e-04    3.507761e-05    1.028016e-03    4.753681e-05    2.469631e-03    6.755571e-05    2.056183e-03    1.399883e-04   
     HDF-BX1303    189.2966666667    +62.188519444    2.3003    2.013724e-04    5.929663e-06    4.246196e-04    3.507761e-05    4.698941e-04    4.753681e-05    7.122493e-04    6.755571e-05    2.541334e-03    1.399883e-04   
     HDF-BX1311    189.1272500000    +62.273922222    2.4843    6.854882e-04    5.929663e-06    1.445440e-03    3.507761e-05    1.753881e-03    4.753681e-05    2.358479e-03    6.755571e-05    4.217565e-03    1.399883e-04   
     HDF-BX1322    189.2772500000    +62.206927778    2.4443    5.248075e-04    5.929663e-06    8.871560e-04    3.507761e-05    1.180321e-03    4.753681e-05    8.803028e-04    6.755571e-05    2.735658e-03    1.399883e-04   
     HDF-BX1332    189.3213750000    +62.194430556    2.2136    4.055085e-04    5.929663e-06    9.462372e-04    3.507761e-05    1.270574e-03    4.753681e-05    1.616710e-03    6.755571e-05    3.508018e-03    1.399883e-04   
     HDF-BX1368    189.2010000000    +62.265622222    2.4407    3.467369e-04    5.929663e-06    8.394600e-04    3.507761e-05    1.106624e-03    4.753681e-05    1.631669e-03    6.755571e-05    3.673345e-03    1.399883e-04   
     HDF-BX1376    189.2206666667    +62.262652778    2.4294    3.047895e-04    5.929663e-06    5.807644e-04    3.507761e-05    5.861382e-04    4.753681e-05    8.484613e-04    6.755571e-05    9.227027e-04    1.399883e-04   
     HDF-BX1388    189.1868333333    +62.287733333    2.0317    1.721869e-04    5.929663e-06    4.285485e-04    3.507761e-05    5.495409e-04    4.753681e-05    3.137849e-03    6.755571e-05    6.871662e-03    1.399883e-04   
     HDF-BX1397    189.2671666667    +62.252733333    2.1328    3.564511e-04    5.929663e-06    7.177943e-04    3.507761e-05    8.165824e-04    4.753681e-05    2.562312e-03    6.755571e-05    2.944841e-03    1.399883e-04   
     HDF-BX1409    189.1975416667    +62.291305556    2.2452    1.076465e-04    5.929663e-06    3.162278e-04    3.507761e-05    4.965923e-04    4.753681e-05    1.724376e-03    6.755571e-05    6.152644e-03    1.399883e-04   
     HDF-BX1439    189.2235833333    +62.290075000    2.1865    3.801894e-04    5.929663e-06    7.870458e-04    3.507761e-05    1.000000e-03    4.753681e-05    2.732952e-03    6.755571e-05    8.493013e-03    1.399883e-04   
     HDF-BX1479    189.3142500000    +62.267744444    2.3745    2.654606e-04    5.929663e-06    5.495409e-04    3.507761e-05    6.367955e-04    4.753681e-05    1.098075e-03    6.755571e-05    1.981809e-03    1.399883e-04   
     HDF-BX1564    189.3477916667    +62.288894444    2.2225    5.445027e-04    5.929663e-06    1.380384e-03    3.507761e-05    1.770109e-03    4.753681e-05    4.619895e-03    6.755571e-05    9.312403e-03    1.399883e-04   
     HDF-BX1567    189.3465416667    +62.289969444    2.2256    4.655861e-04    5.929663e-06    1.224616e-03    3.507761e-05    1.445440e-03    4.753681e-05    4.213394e-03    6.755571e-05    5.559833e-03    1.399883e-04   
      HDF-BX305    189.1547083333    +62.274544444    2.4839    1.028016e-04    5.929663e-06    3.404082e-04    3.507761e-05    7.046931e-04    4.753681e-05    1.249200e-03    6.755571e-05    5.768485e-03    1.399883e-04   
    HDF-BMZ1156    189.2680833333    +62.246188889    2.2151    6.309573e-04    5.929663e-06    5.199960e-04    3.507761e-05    5.152286e-04    4.753681e-05    2.358479e-03    6.755571e-05    4.842412e-03    1.399883e-04   
      Q0201-B13     30.9552083333    +11.602938889    2.1663    8.709636e-04    5.929663e-06    1.644372e-03    3.507761e-05    1.674943e-03    4.753681e-05             nan             nan             nan             nan   
   Q1307-BM1163    197.0751666667    +29.388705556    1.4105    4.742420e-03    5.929663e-06    6.546362e-03    3.507761e-05    7.870458e-03    4.753681e-05             nan             nan             nan             nan   
    Q1623-BX151    246.3733750000    +26.895836111    2.4393    2.051162e-04    5.929663e-06    4.613176e-04    3.507761e-05    5.248075e-04    4.753681e-05             nan             nan             nan             nan   
    Q1623-BX214    246.3902916667    +26.898200000    2.4700    2.147830e-04    5.929663e-06    6.025596e-04    3.507761e-05    8.629785e-04    4.753681e-05             nan             nan             nan             nan   
    Q1623-BX215    246.3908333333    +26.897405556    2.1814    2.910717e-04    5.929663e-06    4.742420e-04    3.507761e-05    6.025596e-04    4.753681e-05             nan             nan             nan             nan   
    Q1623-BX252    246.4040000000    +26.765238889    2.3367    1.940886e-04    5.929663e-06    3.221069e-04    3.507761e-05    3.435579e-04    4.753681e-05             nan             nan             nan             nan   
    Q1623-BX274    246.4091666667    +26.765872222    2.4100    6.486344e-04    5.929663e-06    1.472313e-03    3.507761e-05    1.853532e-03    4.753681e-05             nan             nan             nan             nan   
    Q1623-BX344    246.4330416667    +26.728327778    2.4224    1.367729e-04    5.929663e-06    4.325138e-04    3.507761e-05    6.194411e-04    4.753681e-05             nan             nan             nan             nan   
    Q1623-BX366    246.4378750000    +26.729708333    2.4204    2.805434e-04    5.929663e-06    7.244360e-04    3.507761e-05    1.056818e-03    4.753681e-05             nan             nan             nan             nan   
    Q1623-BX376    246.4399583333    +26.780350000    2.4085    6.918310e-04    5.929663e-06    1.380384e-03    3.507761e-05    1.721869e-03    4.753681e-05    1.616710e-03    6.755571e-05    3.027344e-03    1.399883e-04   
    Q1623-BX428    246.4517083333    +26.794500000    2.0538    3.191538e-04    5.929663e-06    8.472274e-04    3.507761e-05    9.549926e-04    4.753681e-05    3.109081e-03    6.755571e-05    3.381129e-03    1.399883e-04   
    Q1623-BX429    246.4527083333    +26.754019444    2.0160    6.854882e-04    5.929663e-06    1.148154e-03    3.507761e-05    1.282331e-03    4.753681e-05    1.692903e-03    6.755571e-05    2.760971e-03    1.399883e-04   
    Q1623-BX432    246.4530416667    +26.779800000    2.1817    2.992265e-04    5.929663e-06    4.875285e-04    3.507761e-05    5.345644e-04    4.753681e-05    7.809659e-04    6.755571e-05    1.679043e-03    1.399883e-04   
    Q1623-BX447    246.4598750000    +26.787300000    2.1481    1.753881e-04    5.929663e-06    5.011872e-04    3.507761e-05    5.861382e-04    4.753681e-05    2.016657e-03    6.755571e-05    3.954229e-03    1.399883e-04   
    Q1623-BX449    246.4605416667    +26.783325000    2.4188    1.958845e-04    5.929663e-06    3.435579e-04    3.507761e-05    4.130475e-04    4.753681e-05    7.881921e-04    6.755571e-05    1.892613e-03    1.399883e-04   
    Q1623-BX452    246.4625000000    +26.738888889    2.0595    1.690441e-04    5.929663e-06    3.872576e-04    3.507761e-05    4.655861e-04    4.753681e-05    1.395186e-03    6.755571e-05    3.917976e-03    1.399883e-04   
    Q1623-BX453    246.4618333333    +26.825388889    2.1816    4.168694e-04    5.929663e-06    1.037528e-03    3.507761e-05    1.614359e-03    4.753681e-05    4.213394e-03    6.755571e-05    8.185812e-03    1.399883e-04   
    Q1623-BX455    246.4652500000    +26.781911111    2.4074    1.419058e-04    5.929663e-06    3.162278e-04    3.507761e-05    4.365158e-04    4.753681e-05    6.801928e-04    6.755571e-05    1.559774e-03    1.399883e-04   
    Q1623-BX458    246.4649166667    +26.772608333    2.4194    5.546257e-04    5.929663e-06    1.213389e-03    3.507761e-05    1.570363e-03    4.753681e-05    3.080577e-03    6.755571e-05    4.065011e-03    1.399883e-04   
    Q1623-BX472    246.4702916667    +26.777675000    2.1142    1.995262e-04    5.929663e-06    4.613176e-04    3.507761e-05    5.345644e-04    4.753681e-05    1.272425e-03    6.755571e-05    3.140955e-03    1.399883e-04   
    Q1623-BX502    246.4765833333    +26.735902778    2.1558    3.404082e-04    5.929663e-06    5.395106e-04    3.507761e-05    6.606934e-04    4.753681e-05    9.476153e-04    6.755571e-05    1.002448e-03    1.399883e-04   
    Q1623-BX511    246.4837916667    +26.745713889    2.2421    6.668068e-05    5.929663e-06    1.753881e-04    3.507761e-05    2.582260e-04    4.753681e-05             nan             nan    1.273684e-03    1.399883e-04   
    Q1623-BX513    246.4827500000    +26.780638889    2.2473    7.655966e-04    5.929663e-06    1.432188e-03    3.507761e-05    1.819701e-03    4.753681e-05    2.358479e-03    6.755571e-05    5.408313e-03    1.399883e-04   
    Q1623-BX516    246.4844583333    +26.735608333    2.4236    3.435579e-04    5.929663e-06    7.311391e-04    3.507761e-05    9.638290e-04    4.753681e-05    1.284198e-03    6.755571e-05    4.498438e-03    1.399883e-04   
    Q1623-BX522    246.4823333333    +26.748133333    2.4757    1.445440e-04    5.929663e-06    4.325138e-04    3.507761e-05    5.754399e-04    4.753681e-05    1.192977e-03    6.755571e-05    3.288984e-03    1.399883e-04   
    Q1623-BX528    246.4851666667    +26.837622222    2.2682    5.649370e-04    5.929663e-06    1.086426e-03    3.507761e-05    1.367729e-03    4.753681e-05    3.737938e-03    6.755571e-05    8.261555e-03    1.399883e-04   
    Q1623-BX543    246.4904166667    +26.835719444    2.5211    5.701643e-04    5.929663e-06    1.380384e-03    3.507761e-05    2.070141e-03    4.753681e-05    2.809520e-03    6.755571e-05    3.990817e-03    1.399883e-04   
    Q1623-BX586    246.5063333333    +26.761550000    2.1045    1.786488e-04    5.929663e-06    3.981072e-04    3.507761e-05    5.345644e-04    4.753681e-05    1.369721e-03    6.755571e-05    3.027344e-03    1.399883e-04   
    Q1623-BX599    246.5105833333    +26.758861111    2.3304    5.970353e-04    5.929663e-06    1.247384e-03    3.507761e-05    1.527566e-03    4.753681e-05    2.402327e-03    6.755571e-05    6.999416e-03    1.399883e-04   
    Q1623-BX663    246.5190833333    +26.800055556    2.4333    2.511886e-04    5.929663e-06    6.426877e-04    3.507761e-05    8.016781e-04    4.753681e-05    1.529791e-03    6.755571e-05    7.064180e-03    1.399883e-04   
    Q1623-MD107    246.4744583333    +26.754294444    2.5373    6.309573e-05    5.929663e-06    2.355049e-04    3.507761e-05    2.630268e-04    4.753681e-05    3.377785e-04    6.755571e-05    6.999416e-04    1.399883e-04   
     Q1623-MD66    246.4182916667    +26.835800000    2.1075    1.870682e-04    5.929663e-06    6.792036e-04    3.507761e-05    9.549926e-04    4.753681e-05    2.707896e-03    6.755571e-05    5.715599e-03    1.399883e-04   
    Q1700-BX490    255.3117916667    +64.164358333    2.3960    7.870458e-04    5.929663e-06    1.836538e-03    3.507761e-05    2.558586e-03    4.753681e-05    3.772524e-03    6.755571e-05    6.623107e-03    1.399883e-04   
    Q1700-BX505    255.2009166667    +64.168294444    2.3089    6.309573e-05    5.929663e-06    2.051162e-04    3.507761e-05    3.104560e-04    4.753681e-05    9.563835e-04    6.755571e-05    2.999589e-03    1.399883e-04   
    Q1700-BX523    255.1737916667    +64.170800000    2.4756    1.148154e-04    5.929663e-06    3.732502e-04    3.507761e-05    5.701643e-04    4.753681e-05    1.182040e-03    6.755571e-05    2.786518e-03    1.399883e-04   
    Q1700-BX530    255.1535833333    +64.171494444    1.9429    9.549926e-04    5.929663e-06    1.803018e-03    3.507761e-05    2.187762e-03    4.753681e-05    5.353429e-03    6.755571e-05    7.064180e-03    1.399883e-04   
    Q1700-BX536    255.2872500000    +64.173597222    1.9780    9.120108e-04    5.929663e-06    1.887991e-03    3.507761e-05    2.290868e-03    4.753681e-05    6.034372e-03    6.755571e-05    8.571598e-03    1.399883e-04   
    Q1700-BX561    255.2674166667    +64.178841667    2.4332    1.614359e-04    5.929663e-06    4.207266e-04    3.507761e-05    5.011872e-04    4.753681e-05    1.856231e-03    6.755571e-05    7.397105e-03    1.399883e-04   
