# ID             tau            EBV         Age         SFR     Mstar
HDF-BMZ1156      500            0.000       1900        4       9.6e10      
HDF-BX1277       const          0.095       321         15      0.5e10      
HDF-BX1303       const          0.100       1139        7       0.8e10      
HDF-BX1311       const          0.105       255         34      0.9e10      
HDF-BX1322       const          0.085       360         19      0.7e10      
HDF-BX1332       const          0.290       15          159     0.2e10      
HDF-BX1368       const          0.160       404         37      1.5e10      
HDF-BX1376       const          0.070       227         9       0.2e10      
HDF-BX1388       const          0.265       3000        23      7.0e10      
HDF-BX1397       const          0.150       1015        17      1.7e10      
HDF-BX1409       const          0.290       1015        27      2.7e10      
HDF-BX1439       const          0.175       2100        21      4.5e10      
HDF-BX1479       const          0.110       806         13      1.0e10      
HDF-BX1564       100            0.065       360         9       3.3e10      
HDF-BX1567       50             0.050       227         5       2.3e10      
HDF-BX305        const          0.285       571         53      3.0e10      
Q1623-BX376      const          0.175       64          80      0.5e10      
Q1623-BX428      50             0.000       255         1       1.1e10      
Q1623-BX429      const          0.120       227         23      0.5e10      
Q1623-BX432      const          0.060       1278        6       0.8e10      
Q1623-BX447      500            0.050       1434        5       4.4e10      
Q1623-BX449      const          0.110       2600        9       2.4e10      
Q1623-BX452      const          0.195       3000        14      4.3e10      
Q1623-BX453      const          0.275       454         107     4.9e10      
Q1623-BX455      const          0.265       15          58      0.09e10     
Q1623-BX458      const          0.165       571         55      3.1e10      
Q1623-BX472      const          0.130       3000        11      3.2e10      
Q1623-BX502      const          0.220       6           72      0.04e10     
Q1623-BX511      const          0.235       571         13      0.8e10      
Q1623-BX513      const          0.145       454         46      2.1e10      
Q1623-BX516      const          0.145       1800        28      5.1e10      
Q1623-BX522      const          0.180       2600        24      6.2e10      
Q1623-BX528      const          0.175       2750        44      12.2e10     
Q1623-BX543      const          0.305       8           528     0.4e10      
Q1623-BX586      const          0.195       1434        17      2.5e10      
Q1623-BX599      const          0.125       1900        35      6.7e10      
Q1623-BX663      1000           0.135       2000        21      13.2e10     
Q1623-MD107      const          0.060       1015        4       0.4e10      
Q1623-MD66       const          0.235       905         43      3.9e10      
Q1700-BX490      const          0.285       10          448     0.4e10      
Q1700-BX505      const          0.270       1800        20      3.6e10      
Q1700-BX523      const          0.260       255         42      1.1e10      
Q1700-BX530      50             0.045       203         6       1.8e10      
Q1700-BX536      50             0.115       180         15      2.8e10      
Q1700-BX561      500            0.130       1609        10      11.5e10     
Q1700-BX581      const          0.215       35          70      0.2e10      
Q1700-BX681      const          0.315       10          628     0.6e10      
Q1700-BX691      1000           0.125       2750        5       7.6e10      
Q1700-BX717      const          0.090       509         8       0.4e10      
Q1700-BX759      const          0.230       640         37      2.4e10      
Q1700-BX794      const          0.130       454         25      1.1e10      
Q1700-BX917      200            0.040       806         4       4.0e10      
Q1700-MD103      const          0.305       1015        65      6.6e10      
Q1700-MD109      const          0.175       2200        8       1.7e10      
Q1700-MD154      const          0.335       128         347     4.4e10      
Q1700-MD174      1000           0.195       2400        24      23.6e10     
Q1700-MD69       2000           0.275       2750        31      18.6e10     
Q1700-MD94       const          0.500       719         213     15.3e10     
Q2343-BM133      const          0.115       143         35      0.5e10      
Q2343-BX163      const          0.050       1434        9       1.3e10      
Q2343-BX169      const          0.125       203         46      0.9e10      
Q2343-BX182      const          0.100       180         23      0.4e10      
Q2343-BX236      const          0.085       1680        13      2.1e10      
Q2343-BX336      const          0.210       321         58      1.9e10      
Q2343-BX341      const          0.210       102         50      0.5e10      
Q2343-BX378      const          0.165       255         11      0.3e10      
Q2343-BX389      const          0.250       2750        22      6.1e10      
Q2343-BX390      const          0.150       404         17      0.7e10      
Q2343-BX391      const          0.195       64          25      0.2e10      
Q2343-BX418      const          0.035       81          12      0.1e10      
Q2343-BX429      const          0.185       321         12      0.4e10      
Q2343-BX435      const          0.225       1434        30      4.4e10      
Q2343-BX436      const          0.070       321         33      1.1e10      
Q2343-BX442      2000           0.225       2750        25      14.7e10     
Q2343-BX461      const          0.250       15          86      0.1e10      
Q2343-BX474      const          0.215       2750        26      7.2e10      
Q2343-BX480      const          0.165       905         33      3.0e10      
Q2343-BX493      const          0.255       6           220     0.1e10      
Q2343-BX513      const          0.135       3000        20      5.9e10      
Q2343-BX529      const          0.145       404         14      0.6e10      
Q2343-BX537      const          0.130       571         15      0.8e10      
Q2343-BX587      const          0.180       719         49      3.5e10      
Q2343-BX599      const          0.100       1609        21      3.3e10      
Q2343-BX601      const          0.125       640         36      2.3e10      
Q2343-BX610      1000           0.155       2100        32      23.2e10     
Q2343-BX660      const          0.010       2750        5       1.4e10      
Q2343-MD59       2000           0.200       3000        11      7.6e10      
Q2343-MD62       const          0.150       2750        7       1.9e10      
Q2343-MD80       50             0.020       255         1       0.6e10      
Q2346-BX220      50             0.055       227         4       1.7e10      
Q2346-BX404      const          0.095       1800        22      4.0e10      
Q2346-BX405      100            0.010       321         7       1.6e10      
Q2346-BX416      const          0.195       454         55      2.5e10      
