# ID             zHa               zabs          zLya          FHa        e_FHa           radius_Ha         Mstar
CDFb-BN88        2.2615            nan           nan           2.6e-17    0.2e-17            7.4            nan      
HDF-BX1055       2.4899            2.4865        2.4959        2.6e-17    0.6e-17            3.8            nan      
HDF-BX1084       2.4403            2.4392        nan           7.3e-17    0.2e-17            4.8            nan      
HDF-BX1085       2.2407            2.2381        nan           1.1e-17    0.1e-17            2.4            nan      
HDF-BX1086       2.4435            nan           nan           1.8e-17    0.2e-17            $<1.9$         nan      
HDF-BX1277       2.2713            2.2686        nan           5.3e-17    0.2e-17            5.0            0.5e10      
HDF-BX1303       2.3003            2.3024        2.3051        2.6e-17    0.5e-17            3.4            0.8e10      
HDF-BX1311       2.4843            2.4804        2.4890        8.0e-17    0.4e-17            5.5            0.9e10      
HDF-BX1322       2.4443            2.4401        2.4491        2.0e-17    0.2e-17            4.6            0.7e10      
HDF-BX1332       2.2136            2.2113        nan           4.4e-17    0.3e-17            5.5            0.2e10      
HDF-BX1368       2.4407            2.4380        2.4455        8.8e-17    0.4e-17            7.4            1.5e10      
HDF-BX1376       2.4294            2.4266        2.4338        2.2e-17    0.2e-17            2.9            0.2e10      
HDF-BX1388       2.0317            2.0305        nan           5.8e-17    0.5e-17            7.9            7.0e10      
HDF-BX1397       2.1328            2.1322        nan           5.3e-17    0.5e-17            8.6            1.7e10      
HDF-BX1409       2.2452            2.2433        nan           8.5e-17    0.6e-17            7.0            2.7e10      
HDF-BX1439       2.1865            2.1854        2.1913        8.8e-17    0.3e-17            8.2            4.5e10      
HDF-BX1479       2.3745            2.3726        2.3823        2.5e-17    0.2e-17            4.3            1.0e10      
HDF-BX1564       2.2225            2.2219        nan           8.6e-17    0.7e-17            15.4           3.3e10      
HDF-BX1567       2.2256            2.2257        nan           4.0e-17    0.6e-17            2.6            2.3e10      
HDF-BX305        2.4839            2.4825        nan           4.2e-17    0.4e-17            3.8            3.0e10      
HDF-BMZ1156      2.2151            nan           nan           5.4e-17    0.4e-17            $<1.9$         9.6e10      
Q0201-B13        2.1663            nan           nan           2.4e-17    0.1e-17            7.4            nan         
Q1307-BM1163     1.4105            1.4080        nan           28.7e-17   1.2e-17            6.7            nan         
Q1623-BX151      2.4393            nan           nan           3.5e-17    0.6e-17            8.4            nan         
Q1623-BX214      2.4700            2.4674        nan           5.3e-17    0.4e-17            4.1            nan         
Q1623-BX215      2.1814            2.1819        nan           4.8e-17    0.3e-17            5.0            nan         
Q1623-BX252      2.3367            nan           nan           1.1e-17    0.3e-17            $<1.9$         nan         
Q1623-BX274      2.4100            2.4081        2.4130        9.5e-17    0.3e-17            4.8            nan         
Q1623-BX344      2.4224            nan           nan           17.1e-17   0.8e-17            4.1            nan         
Q1623-BX366      2.4204            2.4169        nan           7.8e-17    1.5e-17            8.4            nan         
Q1623-BX376      2.4085            2.4061        2.4153        5.3e-17    0.7e-17            7.0            0.5e10      
Q1623-BX428      2.0538            2.0514        2.0594        2.7e-17    0.5e-17            1.4            1.1e10      
Q1623-BX429      2.0160            2.0142        nan           5.1e-17    0.5e-17            6.7            0.5e10      
Q1623-BX432      2.1817            nan           nan           5.4e-17    0.3e-17            4.6            0.8e10      
Q1623-BX447      2.1481            2.1478        nan           5.6e-17    0.3e-17            5.3            4.4e10      
Q1623-BX449      2.4188            nan           nan           3.5e-17    0.9e-17            $<1.9$         2.4e10      
Q1623-BX452      2.0595            2.0595        nan           4.4e-17    0.4e-17            9.6            4.3e10      
Q1623-BX453      2.1816            2.1724        2.1838        13.8e-17   0.2e-17            4.1            4.9e10      
Q1623-BX455      2.4074            2.4066        nan           18.8e-17   1.1e-17            5.0            0.09e10     
Q1623-BX458      2.4194            2.4174        nan           4.3e-17    0.5e-17            8.4            3.1e10      
