# Name         RAh RAm RAs   DE- DEd DEm DEs  
  "CDFb-BN88   " 0   53  52.87 +   12  23  51.25
  "HDF-BX1055  " 12  35  59.59 +   62  13  7.5  
  "HDF-BX1084  " 12  36  13.57 +   62  12  21.48
  "HDF-BX1085  " 12  36  13.33 +   62  12  16.31
  "HDF-BX1086  " 12  36  13.41 +   62  12  18.84
  "HDF-BX1277  " 12  37  18.59 +   62  9   55.54
  "HDF-BX1303  " 12  37  11.2  +   62  11  18.67
  "HDF-BX1311  " 12  36  30.54 +   62  16  26.12
  "HDF-BX1322  " 12  37  6.54  +   62  12  24.94
  "HDF-BX1332  " 12  37  17.13 +   62  11  39.95
  "HDF-BX1368  " 12  36  48.24 +   62  15  56.24
  "HDF-BX1376  " 12  36  52.96 +   62  15  45.55
  "HDF-BX1388  " 12  36  44.84 +   62  17  15.84
  "HDF-BX1397  " 12  37  4.12  +   62  15  9.84 
  "HDF-BX1409  " 12  36  47.41 +   62  17  28.7 
  "HDF-BX1439  " 12  36  53.66 +   62  17  24.27
  "HDF-BX1479  " 12  37  15.42 +   62  16  3.88 
  "HDF-BX1564  " 12  37  23.47 +   62  17  20.02
  "HDF-BX1567  " 12  37  23.17 +   62  17  23.89
  "HDF-BX305   " 12  36  37.13 +   62  16  28.36
  "HDF-BMZ1156 " 12  37  4.34  +   62  14  46.28
  "Q0201-B13   " 2   3   49.25 +   11  36  10.58
  Q1307-BM1163 13  8   18.04 +   29  23  19.34
  "Q1623-BX151 " 16  25  29.61 +   26  53  45.01
  "Q1623-BX214 " 16  25  33.67 +   26  53  53.52
  "Q1623-BX215 " 16  25  33.8  +   26  53  50.66
  "Q1623-BX252 " 16  25  36.96 +   26  45  54.86
  "Q1623-BX274 " 16  25  38.2  +   26  45  57.14
  "Q1623-BX344 " 16  25  43.93 +   26  43  41.98
  "Q1623-BX366 " 16  25  45.09 +   26  43  46.95
  "Q1623-BX376 " 16  25  45.59 +   26  46  49.26
  "Q1623-BX428 " 16  25  48.41 +   26  47  40.2 
  "Q1623-BX429 " 16  25  48.65 +   26  45  14.47
  "Q1623-BX432 " 16  25  48.73 +   26  46  47.28
  "Q1623-BX447 " 16  25  50.37 +   26  47  14.28
  "Q1623-BX449 " 16  25  50.53 +   26  46  59.97
  "Q1623-BX452 " 16  25  51.0  +   26  44  20.0 
  "Q1623-BX453 " 16  25  50.84 +   26  49  31.4 
  "Q1623-BX455 " 16  25  51.66 +   26  46  54.88
  "Q1623-BX458 " 16  25  51.58 +   26  46  21.39
  "Q1623-BX472 " 16  25  52.87 +   26  46  39.63
  "Q1623-BX502 " 16  25  54.38 +   26  44  9.25 
  "Q1623-BX511 " 16  25  56.11 +   26  44  44.57
  "Q1623-BX513 " 16  25  55.86 +   26  46  50.3 
  "Q1623-BX516 " 16  25  56.27 +   26  44  8.19 
  "Q1623-BX522 " 16  25  55.76 +   26  44  53.28
  "Q1623-BX528 " 16  25  56.44 +   26  50  15.44
  "Q1623-BX543 " 16  25  57.7  +   26  50  8.59 
  "Q1623-BX586 " 16  26  1.52  +   26  45  41.58
  "Q1623-BX599 " 16  26  2.54  +   26  45  31.9 
  "Q1623-BX663 " 16  26  4.58  +   26  48  0.2  
  "Q1623-MD107 " 16  25  53.87 +   26  45  15.46
  "Q1623-MD66  " 16  25  40.39 +   26  50  8.88 
  "Q1700-BX490 " 17  1   14.83 +   64  9   51.69
  "Q1700-BX505 " 17  0   48.22 +   64  10  5.86 
  "Q1700-BX523 " 17  0   41.71 +   64  10  14.88
  "Q1700-BX530 " 17  0   36.86 +   64  10  17.38
  "Q1700-BX536 " 17  1   8.94  +   64  10  24.95
  "Q1700-BX561 " 17  1   4.18  +   64  10  43.83
  "Q1700-BX581 " 17  1   2.73  +   64  10  51.3 
  "Q1700-BX681 " 17  1   33.76 +   64  12  4.28 
  "Q1700-BX691 " 17  1   6.0   +   64  12  10.27
  "Q1700-BX717 " 17  0   56.99 +   64  12  23.76
  "Q1700-BX759 " 17  0   59.55 +   64  12  55.45
  "Q1700-BX794 " 17  0   47.3  +   64  13  18.7 
  "Q1700-BX917 " 17  1   16.11 +   64  14  19.8 
  "Q1700-MD69  " 17  0   47.62 +   64  9   44.78
  "Q1700-MD94  " 17  0   42.02 +   64  11  24.22
  "Q1700-MD103 " 17  1   0.21  +   64  11  55.58
  "Q1700-MD109 " 17  1   4.48  +   64  12  9.29 
  "Q1700-MD154 " 17  1   38.39 +   64  14  57.37
  "Q1700-MD174 " 17  0   54.54 +   64  16  24.76
  "Q2343-BM133 " 23  46  16.18 +   12  48  9.31 
  "Q2343-BM181 " 23  46  27.03 +   12  49  19.65
  "Q2343-BX163 " 23  46  4.78  +   12  45  37.78
  "Q2343-BX169 " 23  46  5.03  +   12  45  40.77
  "Q2343-BX182 " 23  46  18.04 +   12  45  51.11
  "Q2343-BX236 " 23  46  18.71 +   12  46  15.97
  "Q2343-BX336 " 23  46  29.53 +   12  47  4.76 
  "Q2343-BX341 " 23  46  23.24 +   12  47  7.97 
  "Q2343-BX378 " 23  46  33.9  +   12  47  26.2 
  "Q2343-BX389 " 23  46  28.9  +   12  47  33.55
