# ID              n_Name   z       EBV FHa  LHa SFR0 SFR1 F1500 L1500 USFR0 USFR1 SFR WHa  n_WHa
CDFb-BN88         ""     2.2615  0.149  2.6  1.0 9    14   23.43 29.27 14    60    0   0    ""   
HDF-BX1055        ""     2.4899  0.103  2.6  1.3 11   15   24.33 28.98 8     21    4   116  ""   
HDF-BX1084        ""     2.4403  0.12   7.3  3.4 30   44   23.5  29.3  16    51    0   0    ""   
HDF-BX1085        ""     2.2407  0.171  1.1  0.4 4    6    24.83 28.7  4     20    0   0    ""   
HDF-BX1086        ""     2.4435  0.196  1.8  0.8 7    14   25.05 28.68 4     26    0   0    ""   
HDF-BX1277        ""     2.2713  0.095  5.3  2.1 18   25   24.01 29.04 8     21    0   0    ""   
HDF-BX1303        ""     2.3003  0.1    2.6  1.0 9    12   24.83 28.72 4     11    15  308  ""   
HDF-BX1311        ""     2.4843  0.105  8.0  3.9 34   48   23.5  29.31 16    46    7   101  ""   
HDF-BX1322        ""     2.4443  0.085  2.0  0.9 8    11   24.03 29.09 10    22    34  197  ""   
HDF-BX1332        ""     2.2136  0.29   4.4  1.6 14   35   23.96 29.04 8     135   19  68   ""   
HDF-BX1368        ""     2.4407  0.16   8.8  4.1 36   59   24.09 29.06 9     44    159 132  ""   
HDF-BX1376        ""     2.4294  0.07   2.2  1.0 9    11   24.49 28.9  6     12    37  266  ""   
HDF-BX1388        ""     2.0317  0.265  5.8  1.8 15   34   24.82 28.63 3     38    9   265  ""   
HDF-BX1397        ""     2.1328  0.15   5.3  1.8 16   25   24.26 28.89 6     25    23  90   ""   
HDF-BX1409        ""     2.2452  0.29   8.5  3.2 29   69   25.15 28.57 3     47    17  207  ""   
HDF-BX1439        ""     2.1865  0.175  8.8  3.2 28   48   24.16 28.95 7     36    27  145  ""   
HDF-BX1479        ""     2.3745  0.11   2.5  1.1 10   14   24.55 28.86 6     16    21  107  ""   
HDF-BX1564        ""     2.2225  0.065  8.6  3.2 28   34   23.55 29.21 13    23    13  126  ""   
HDF-BX1567        ""     2.2256  0.05   4.0  1.5 13   15   23.68 29.15 11    18    9   93   ""   
HDF-BX305         ""     2.4839  0.285  4.2  2.1 18   43   25.07 28.68 4     65    5   72   ""   
HDF-BMZ1156       l      2.2151  0.0    5.4  2.0 18   18   24.61 28.78 5     5     53  67   ""   
Q0201-B13         ""     2.1663  0.003  2.4  0.8 7    8    23.36 29.26 14    15    0   0    ""   
Q1307-BM1163      ""     1.4105  0.178  28.7 3.5 31   53   22.21 29.38 19    99    0   0    ""   
Q1623-BX151       l      2.4393  0.059  3.5  1.6 14   17   24.74 28.8  5     9     0   0    ""   
Q1623-BX214       ""     2.47    0.182  5.3  2.6 23   39   24.45 28.92 7     40    0   0    ""   
Q1623-BX215       ""     2.1814  0.134  4.8  1.7 15   22   24.71 28.73 4     15    0   0    ""   
Q1623-BX252       ""     2.3367  0.031  1.2  0.5 4    5    25.13 28.61 3     4     0   0    ""   
Q1623-BX274       ""     2.41    0.119  9.5  4.3 38   54   23.48 29.29 15    50    0   0    ""   
Q1623-BX344       ""     2.4224  0.189  17.1 7.9 69   123  24.81 28.77 5     30    0   0    ""   
Q1623-BX366       ""     2.4204  0.2    7.9  3.6 32   58   24.25 28.99 8     55    0   0    ""   
Q1623-BX376       ""     2.4085  0.175  5.3  2.4 21   36   23.55 29.27 14    81    80  183  ""   
Q1623-BX428       ""     2.0538  0.0    2.7  0.8 7    7    24.08 28.93 7     7     1   84   ""   
Q1623-BX429       ""     2.016   0.12   5.1  1.5 13   19   23.75 29.05 9     26    23  219  ""   
