# ID          Alias         RA_HMS         DEC_DMS       
Q1700-BNB17   Q1700-BX239   17:01:33.685   +64:06:53.143 
Q1700-BNB18   Q1700-BX313   17:00:50.588   +64:07:28.636 
Q1700-BNB19   Q1700-BX754   17:01:43.579   +64:12:52.591 
Q1700-BNB26   Q1700-BX235   16:59:59.103   +64:06:51.363 
Q1700-BNB27   ""            17:00:46.215   +64:19:04.119 
Q1700-BNB29   ""            17:01:51.274   +64:08:24.741 
Q1700-BNB36   ""            17:01:18.709   +64:12:40.142 
Q1700-BNB42   ""            17:01:31.700   +64:08:50.079 
Q1700-BNB47   ""            17:00:31.746   +64:15:38.774 
Q1700-BNB51   ""            17:00:36.169   +64:07:30.651 
Q1700-BNB88   ""            17:01:27.241   +64:07:29.465 
Q1700-BNB93   ""            17:00:32.620   +64:16:28.437 
Q1700-BNB95   ""            17:01:23.458   +64:14:40.281 
Q1700-BNB104  ""            17:00:51.786   +64:14:58.858 
Q1700-BNB115  ""            17:01:47.623   +64:13:23.974 
Q1700-BNB153  ""            17:01:04.844   +64:12:52.376 
Q1700-BNB157  ""            17:00:21.513   +64:07:20.169 
SSA22a-001    SSA22a-D3     22:17:32.453   +00:11:33.513 
SSA22a-003    ""            22:17:24.795   +00:17:16.998 
SSA22a-004    SSA22a-MD23   22:17:28.034   +00:14:29.384 
SSA22a-006    ""            22:17:24.833   +00:11:16.002 
SSA22a-008    SSA22a-C28    22:17:21.126   +00:15:27.287 
SSA22a-009    SSA22a-C9     22:17:28.332   +00:12:11.540 
SSA22a-012    SSA22a-M28    22:17:31.714   +00:16:57.262 
SSA22a-013    ""            22:17:27.197   +00:16:21.299 
SSA22a-014    ""            22:17:19.274   +00:14:50.137 
SSA22a-021    ""            22:17:18.793   +00:15:17.315 
SSA22a-042    ""            22:17:21.505   +00:17:04.048 
SSA22a-046    ""            22:17:21.487   +00:14:53.923 
SSA22a-062    ""            22:17:22.882   +00:14:41.043 
SSA22a-063    ""            22:17:23.335   +00:15:52.333 
SSA22a-066    ""            22:17:20.877   +00:15:11.123 
SSA22a-067    ""            22:17:36.306   +00:13:11.416 
SSA22a-072    ""            22:17:31.259   +00:17:31.810 
SSA22a-078    ""            22:17:37.704   +00:16:47.841 
SSA22a-082    ""            22:17:35.471   +00:16:47.238 
