# ID            UPLIM_R  MAG_R  MAGERR_R    zHa          zLya       FLya       e_FLya          FWHM_Lya  e_FWHM_Lya  UPLIM_EW_Lya  EW_Lya  E_EW_Lya 
Q1700-BNB17     NULL     24.48  0.1         2.2838      2.293       0.62e-17   0.13e-17        840       69          ">"           9       99       
Q1700-BNB18     NULL     24.75  0.1         2.3135      2.317       1.59e-17   0.19e-17        344       43          ">"           11      99       
Q1700-BNB19     NULL     23.94  0.1         2.2837      2.288       11.26e-17  1.91e-17        393       127         ">"           21      99       
Q1700-BNB26     NULL     25.24  0.1         2.2776      2.280       2.11e-17   0.21e-17        210       44          ">"           13      99       
Q1700-BNB27     NULL     23.09  0.1         2.2928      2.295       2.67e-17   0.17e-17        237       17          ">"           18      99       
Q1700-BNB29     NULL     25.07  0.1         2.2930      2.298       3.39e-17   0.46e-17        455       49          NULL          11      2        
Q1700-BNB36     NULL     24.84  0.1         2.2949      2.298       3.60e-17   0.25e-17        264       24          ">"           39      99       
Q1700-BNB42     NULL     26.01  0.1         2.2742      2.275       5.44e-17   0.25e-17        73        22          ">"           60      99       
Q1700-BNB47     NULL     26.07  0.1         2.2935      2.296       1.85e-17   0.27e-17        273       61          ">"           13      99       
Q1700-BNB51     NULL     26.11  0.1         2.3100      2.313       2.79e-17   0.28e-17        245       37          ">"           23      99       
Q1700-BNB88     NULL     26.14  0.1         2.3002      2.301       1.14e-17   0.17e-17        45        64          ">"           16      99       
Q1700-BNB93     ">"      26.85  1.0         2.3254      2.327       2.48e-17   0.21e-17        144       20          ">"           21      99       
Q1700-BNB95     NULL     25.71  0.1         2.3064      2.312       3.85e-17   1.12e-17        508       258         ">"           10      99       
Q1700-BNB104    ">"      26.48  1.0         2.2942      2.295       1.73e-17   0.20e-17        27        56          ">"           20      99       
Q1700-BNB115    NULL     26.39  0.1         2.3064      2.308       1.19e-17   0.11e-17        145       60          NULL          17      2        
Q1700-BNB153    ">"      26.85  1.0         2.2903      2.291       1.86e-17   0.19e-17        64        47          ">"           26      99       
Q1700-BNB157    ">"      26.72  1.0         2.3139      2.317       2.20e-17   0.40e-17        299       94          ">"           16      99       
SSA22a-001      NULL     23.92  0.1         3.0690      3.075       1.02e-17   0.06e-17        442       19          NULL          12      1        
SSA22a-003      NULL     24.42  0.1         3.0965      3.097       1.17e-17   0.04e-17        37        16          NULL          40      4        
SSA22a-004      NULL     24.34  0.1         3.0788      3.092       1.64e-17   0.12e-17        970       32          NULL          4       2        
SSA22a-006      ">"      27.00  1.0         3.0691      3.076       0.40e-17   0.04e-17        508       68          ">"           15      99       
SSA22a-008      NULL     24.87  0.1         3.0692      3.076       2.38e-17   0.14e-17        501       25          NULL          31      4        
SSA22a-009      NULL     25.84  0.1         3.0688      3.071       1.71e-17   0.06e-17        162       12          ">"           46      99       
SSA22a-012      NULL     24.75  0.1         3.0902      3.094       0.74e-17   0.09e-17        278       50          ">"           15      99       
SSA22a-013      NULL     25.98  0.1         3.0919      3.095       0.79e-17   0.05e-17        227       33          ">"           32      99       
SSA22a-014      NULL     25.82  0.1         3.0631      3.067       0.69e-17   0.09e-17        288       32          ">"           8       99       
SSA22a-021      ">"      27.00  1.0         3.0670      3.070       0.91e-17   0.05e-17        221       19          ">"           46      99       
SSA22a-042      NULL     25.50  0.1         3.0666      3.072       0.34e-17   0.04e-17        398       49          ">"           16      99       
SSA22a-046      ">"      27.00  1.0         3.0975      3.100       1.02e-17   0.11e-17        183       27          ">"           10      99       
SSA22a-062      NULL     26.53  0.1         3.0551      3.057       0.94e-17   0.04e-17        140       15          ">"           36      99       
SSA22a-063      NULL     26.55  0.1         3.0978      3.099       0.53e-17   0.03e-17        88        32          ">"           27      99       
SSA22a-066      NULL     26.64  0.1         3.0645      3.066       0.19e-17   0.05e-17        111       194         ">"           6       99       
SSA22a-067      NULL     26.40  0.1         3.1013      3.106       0.60e-17   0.07e-17        344       54          ">"           17      99       
SSA22a-072      NULL     27.00  0.1         3.0845      3.084       0.44e-17   0.13e-17        -37       242         ">"           11      99       
SSA22a-078      NULL     25.95  0.1         3.0870      3.090       0.18e-17   0.06e-17        220       258         ">"           5       99       
SSA22a-082      ">"      27.00  1.0         3.0873      3.087       0.56e-17   0.08e-17        -22       86          ">"           12      99       

# MAGERR_R 0.1 means detected, 1.0 means upper limit.
