# ID           Alias       RA_HMS       DEC_DMS       RA            DEC          UPLIM_R MAG_R MAGERR_R zHa    zLya  FLya      e_FLya   FWHM_Lya e_FWHM_Lya UPLIM_EW_Lya EW_Lya E_EW_Lya MAG_F625W MAGERR_F625W MAG_F814W MAGERR_F814W MAG_F160W MAGERR_F160W FLUX_R                FLUXERR_R             FLUX_F625W            FLUXERR_F625W         FLUX_F814W            FLUXERR_F814W         FLUX_F160W            FLUXERR_F160W        
  Q1700-BNB17  Q1700-BX239 17:01:33.685 +64:06:53.143 255.390354167 +64.11476194 NULL    24.48 0.1      2.2838 2.293 6.2E-18   1.3E-18  840      69         >            9      99       ""        ""           ""        ""           ""        ""           5.861738391238691E-7  5.3975492436329644E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB18  Q1700-BX313 17:00:50.588 +64:07:28.636 255.210783333 +64.12462111 NULL    24.75 0.1      2.3135 2.317 1.59E-17  1.9E-18  344      43         >            11     99       ""        ""           ""        ""           ""        ""           4.5711581702246175E-7 4.2091696485637036E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB19  Q1700-BX754 17:01:43.579 +64:12:52.591 255.431579167 +64.21460861 NULL    23.94 0.1      2.2837 2.288 1.126E-16 1.91E-17 393      127        >            21     99       ""        ""           ""        ""           ""        ""           9.63886805431506E-7   8.875569243043633E-8  ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB26  Q1700-BX235 16:59:59.103 +64:06:51.363 254.996262500 +64.11426750 NULL    25.24 0.1      2.2776 2.28  2.11E-17  2.1E-18  210      44         >            13     99       ""        ""           ""        ""           ""        ""           2.910893661800161E-7  2.6803809439925016E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB27  ""          17:00:46.215 +64:19:04.119 255.192562500 +64.31781083 NULL    23.09 0.1      2.2928 2.295 2.67E-17  1.7E-18  237      17         >            18     99       ""        ""           ""        ""           ""        ""           2.1087553036582587E-6 1.9417636602957287E-7 ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB29  ""          17:01:51.274 +64:08:24.741 255.463641667 +64.14020583 NULL    25.07 0.1      2.293  2.298 3.39E-17  4.6E-18  455      49         NULL         11     2        ""        ""           ""        ""           ""        ""           3.4042886040159243E-7 3.134704101974012E-8  ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB36  ""          17:01:18.709 +64:12:40.142 255.327954167 +64.21115056 NULL    24.84 0.1      2.2949 2.298 3.6E-17   2.5E-18  264      24         >            39     99       ""        ""           25.54     0.02         ""        ""           4.207519988880087E-7  3.874327855964107E-8  ""                    ""                    2.208136327671365E-7  4.066549315498475E-9  ""                    ""                   
  Q1700-BNB42  ""          17:01:31.700 +64:08:50.079 255.382083333 +64.14724417 NULL    26.01 0.1      2.2742 2.275 5.44E-17  2.5E-18  73       22         >            60     99       ""        ""           ""        ""           ""        ""           1.4322741619005055E-7 1.3188528390820014E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB47  ""          17:00:31.746 +64:15:38.774 255.132275000 +64.26077056 NULL    26.07 0.1      2.2935 2.296 1.85E-17  2.7E-18  273      61         >            13     99       ""        ""           25.83     0.03         ""        ""           1.3552717038922935E-7 1.2479481805593144E-8 ""                    ""                    1.6905432243751862E-7 4.670008802730941E-9  ""                    ""                   
  Q1700-BNB51  ""          17:00:36.169 +64:07:30.651 255.150704167 +64.12518083 NULL    26.11 0.1      2.31   2.313 2.79E-17  2.8E-18  245      37         >            23     99       ""        ""           ""        ""           ""        ""           1.3062491016364E-7    1.2028076621556431E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB88  ""          17:01:27.241 +64:07:29.465 255.363504167 +64.12485139 NULL    26.14 0.1      2.3002 2.301 1.14E-17  1.7E-18  45       64         >            16     99       ""        ""           ""        ""           ""        ""           1.2706516157823682E-7 1.1700291295732528E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB93  ""          17:00:32.620 +64:16:28.437 255.135916667 +64.27456583 >       26.85 1.0      2.3254 2.327 2.48E-17  2.1E-18  144      20         >            21     99       ""        ""           26.89     0.09         ""        ""           6.607331496148965E-8  6.084098983562583E-8  ""                    ""                    6.368343682179904E-8  5.2776330954987386E-9 ""                    ""                   
  Q1700-BNB95  ""          17:01:23.458 +64:14:40.281 255.347741667 +64.24452250 NULL    25.71 0.1      2.3064 2.312 3.85E-17  1.12E-17 508      258        >            10     99       ""        ""           25.69     0.03         ""        ""           1.8881070555245254E-7 1.7385884748245977E-8 ""                    ""                    1.9232070187732279E-7 5.31272645244807E-9   ""                    ""                   
  Q1700-BNB104 ""          17:00:51.786 +64:14:58.858 255.215775000 +64.24968278 >       26.48 1.0      2.2942 2.295 1.73E-17  2.0E-18  27       56         >            20     99       ""        ""           26.51     0.04         ""        ""           9.290229272262147E-8  8.554538924734941E-8  ""                    ""                    9.037039017603389E-8  3.3285594164308747E-9 ""                    ""                   
  Q1700-BNB115 ""          17:01:47.623 +64:13:23.974 255.448429167 +64.22332611 NULL    26.39 0.1      2.3064 2.308 1.19E-17  1.1E-18  145      60         NULL         17     2        ""        ""           ""        ""           ""        ""           1.0093144549139653E-7 9.293871730699104E-9  ""                    ""                    ""                    ""                    ""                    ""                   
  Q1700-BNB153 ""          17:01:04.844 +64:12:52.376 255.270183333 +64.21454889 >       26.85 1.0      2.2903 2.291 1.86E-17  1.9E-18  64       47         >            26     99       ""        ""           26.63     0.12         ""        ""           6.607331496148965E-8  6.084098983562583E-8  ""                    ""                    8.091454281389002E-8  8.940833260255143E-9  ""                    ""                   
  Q1700-BNB157 ""          17:00:21.513 +64:07:20.169 255.089637500 +64.12226917 >       26.72 1.0      2.3139 2.317 2.2E-17   4.0E-18  299      94         >            16     99       ""        ""           ""        ""           ""        ""           7.447774581464668E-8  6.85798764407428E-8   ""                    ""                    ""                    ""                    ""                    ""                   
  SSA22a-001   SSA22a-D3   22:17:32.453 +00:11:33.513 334.385220833 +0.19264250  NULL    23.92 0.1      3.069  3.075 1.02E-17  6.0E-19  442      19         NULL         12     1        24.34     0.05         24.1      0.03         ""        ""           9.818072130169945E-7  9.040582206694862E-8  6.668469787520099E-7  3.0701979221399823E-8 8.3181375246499E-7    2.2978279941229386E-8 ""                    ""                   
  SSA22a-003   ""          22:17:24.795 +00:17:16.998 334.353312500 +0.28805500  NULL    24.42 0.1      3.0965 3.097 1.17E-17  4.0E-19  37       16         NULL         40     4        ""        ""           ""        ""           ""        ""           6.194784719167009E-7  5.7042217416910624E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  SSA22a-004   SSA22a-MD23 22:17:28.034 +00:14:29.384 334.366808333 +0.24149556  NULL    24.34 0.1      3.0788 3.092 1.64E-17  1.2E-18  970      32         NULL         4      2        ""        ""           25.1      0.03         ""        ""           6.668469787520099E-7  6.140395844279965E-8  ""                    ""                    3.311510194213254E-7  9.14781801158904E-9   ""                    ""                   
  SSA22a-006   ""          22:17:24.833 +00:11:16.002 334.353470833 +0.18777833  >       27.0  1.0      3.0691 3.076 4.0E-18   4.0E-19  508      68         >            15     99       ""        ""           29.6      1.0          ""        ""           5.754747181826293E-8  5.299030554167857E-8  ""                    ""                    5.248389963574157E-9  4.8327716055010656E-9 ""                    ""                   
  SSA22a-008   SSA22a-C28  22:17:21.126 +00:15:27.287 334.338025000 +0.25757972  NULL    24.87 0.1      3.0692 3.076 2.38E-17  1.4E-18  501      25         NULL         31     4        25.1      0.14         24.75     0.04         24.44     0.05         4.092850799751763E-7  3.7687392824493484E-8 3.311510194213254E-7  4.268981852335814E-8  4.5711581702246175E-7 1.683667796703967E-8  6.081714591345607E-7  2.8000528001704494E-8
  SSA22a-009   SSA22a-C9   22:17:28.332 +00:12:11.540 334.368050000 +0.20320556  NULL    25.84 0.1      3.0688 3.071 1.71E-17  6.0E-19  162      12         >            46     99       ""        ""           25.26     0.08         25.11     0.07         1.6750438778203324E-7 1.5423977005344668E-8 ""                    ""                    2.857762659943719E-7  2.1051658166244906E-8 3.281149394572055E-7  2.1149213498886052E-8
  SSA22a-012   SSA22a-M28  22:17:31.714 +00:16:57.262 334.382141667 +0.28257278  NULL    24.75 0.1      3.0902 3.094 7.4E-18   9.0E-19  278      50         >            15     99       ""        ""           ""        ""           ""        ""           4.5711581702246175E-7 4.2091696485637036E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  SSA22a-013   ""          22:17:27.197 +00:16:21.299 334.363320833 +0.27258306  NULL    25.98 0.1      3.0919 3.095 7.9E-18   5.0E-19  227      33         >            32     99       ""        ""           25.67     0.06         ""        ""           1.4724021130011276E-7 1.3558030708486452E-8 ""                    ""                    1.9589629326974278E-7 1.0822999386249689E-8 ""                    ""                   
  SSA22a-014   ""          22:17:19.274 +00:14:50.137 334.330308333 +0.24726028  NULL    25.82 0.1      3.0631 3.067 6.9E-18   9.0E-19  288      32         >            8      99       25.82     0.13         25.89     0.04         25.4      0.09         1.7061859879155867E-7 1.5710736771084154E-8 1.7061859879155867E-7 2.042395674892242E-8  1.5996556086457406E-7 5.891917395545677E-9  2.5120391380029195E-7 2.0818004733334692E-8
  SSA22a-021   ""          22:17:18.793 +00:15:17.315 334.328304167 +0.25480972  >       27.0  1.0      3.067  3.07  9.1E-18   5.0E-19  221      19         >            46     99       ""        ""           27.02     0.11         ""        ""           5.754747181826293E-8  5.299030554167857E-8  ""                    ""                    5.6497088263503276E-8 5.722541137486621E-9  ""                    ""                   
  SSA22a-042   ""          22:17:21.505 +00:17:04.048 334.339604167 +0.28445778  NULL    25.5  0.1      3.0666 3.072 3.4E-18   4.0E-19  398      49         >            16     99       ""        ""           ""        ""           ""        ""           2.2910061178075852E-7 2.1095820920315255E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  SSA22a-046   ""          22:17:21.487 +00:14:53.923 334.339529167 +0.24831194  >       27.0  1.0      3.0975 3.1   1.02E-17  1.1E-18  183      27         >            10     99       27.43     0.35         27.2      0.11         27.54     1.0          5.754747181826293E-8  5.299030554167857E-8  3.8728094276281664E-8 1.248142980281874E-8  4.786586854195084E-8  4.84829236748095E-9   3.4996602337524376E-8 3.222523235499482E-8 
  SSA22a-062   ""          22:17:22.882 +00:14:41.043 334.345341667 +0.24473417  NULL    26.53 0.1      3.0551 3.057 9.4E-18   4.0E-19  140      15         >            36     99       26.77     0.24         26.77     0.08         ""        ""           8.872090725907945E-8  8.169512760692816E-9  7.112562010730221E-8  1.5718368733153745E-8 7.112562010730221E-8  5.239456244384582E-9  ""                    ""                   
  SSA22a-063   ""          22:17:23.335 +00:15:52.333 334.347229167 +0.26453694  NULL    26.55 0.1      3.0978 3.099 5.3E-18   3.0E-19  88       32         >            27     99       ""        ""           27.09     0.12         26.14     0.19         8.710168449533785E-8  8.020413056469069E-9  ""                    ""                    5.29695383463305E-8   5.8529875317534864E-9 1.2706516157823682E-7 2.223055285167407E-8 
  SSA22a-066   ""          22:17:20.877 +00:15:11.123 334.336987500 +0.25308972  NULL    26.64 0.1      3.0645 3.066 1.9E-18   5.0E-19  111      194        >            6      99       26.51     0.23         26.87     0.08         26.94     0.23         8.017269692535112E-8  7.382384725600129E-9  9.037039017603389E-8  1.9139217419468182E-8 6.486731370285609E-8  4.778439208321078E-9  6.081714591345607E-8  1.2880242922508105E-8
  SSA22a-067   ""          22:17:36.306 +00:13:11.416 334.401275000 +0.21983778  NULL    26.4  0.1      3.1013 3.106 6.0E-18   7.0E-19  344      54         >            17     99       ""        ""           29.6      1.0          ""        ""           1.0000607935499876E-7 9.208663061252804E-9  ""                    ""                    5.248389963574157E-9  4.8327716055010656E-9 ""                    ""                   
  SSA22a-072   ""          22:17:31.259 +00:17:31.810 334.380245833 +0.29216944  NULL    27.0  0.1      3.0845 3.084 4.4E-18   1.3E-18  -37      242        >            11     99       ""        ""           ""        ""           ""        ""           5.754747181826293E-8  5.299030633129565E-9  ""                    ""                    ""                    ""                    ""                    ""                   
  SSA22a-078   ""          22:17:37.704 +00:16:47.841 334.407100000 +0.27995583  NULL    25.95 0.1      3.087  3.09  1.8E-18   6.0E-19  220      258        >            5      99       ""        ""           ""        ""           ""        ""           1.5136516677476754E-7 1.3937860868350302E-8 ""                    ""                    ""                    ""                    ""                    ""                   
  SSA22a-082   ""          22:17:35.471 +00:16:47.238 334.397795833 +0.27978833  >       27.0  1.0      3.0873 3.087 5.6E-18   8.0E-19  -22      86         >            12     99       ""        ""           ""        ""           ""        ""           5.754747181826293E-8  5.299030554167857E-8  ""                    ""                    ""                    ""                    ""                    ""                   
