# ID               MAG_B_AB  MAGERR_B_AB   MAG_G_AB  MAGERR_G_AB   MAG_H_Vega  MAGERR_H_Vega   MAG_Ks_Vega  MAGERR_Ks_Vega   B_AB_minus_Ks_Vega  B_AB_minus_Ks_Vega_ERR  G_AB_minus_Ks_Vega  G_AB_minus_Ks_Vega_ERR  B_AB_minus_z_AB  B_AB_minus_z_AB_ERR  z_AB_minus_Ks_Vega  z_AB_minus_Ks_Vega_ERR  J_Vega_minus_Ks_Vega  J_Vega_minus_Ks_Vega_ERR
Q1307-BM1163       99.99     99.99         21.83     0.01          99.99       99.99           99.99        99.99            99.99               99.99                   99.99               99.99                   99.99            99.99                99.99               99.99                   99.99                 99.99                   
Q1623-BX376        99.99     99.99         23.43     0.01          99.99       99.99           20.83        0.09             99.99               99.99                   2.60                0.09                    99.99            99.99                99.99               99.99                   1.59                  0.14                    
Q1623-BX447        99.99     99.99         24.53     0.03          99.99       99.99           20.54        0.07             99.99               99.99                   3.99                0.08                    99.99            99.99                99.99               99.99                   1.64                  0.11                    
Q1623-BX455        99.99     99.99         25.03     0.05          99.99       99.99           21.55        0.18             99.99               99.99                   3.48                0.19                    99.99            99.99                99.99               99.99                   1.81                  0.31                    
Q1623-BX502        99.99     99.99         24.45     0.03          99.99       99.99           22.03        0.28             99.99               99.99                   2.42                0.28                    99.99            99.99                99.99               99.99                   0.97                  0.33                    
Q1623-BX528        99.99     99.99         23.69     0.01          20.97       0.06            19.74        0.03             99.99               99.99                   3.95                0.03                    99.99            99.99                99.99               99.99                   1.77                  0.06                    
Q1623-BX543        99.99     99.99         23.43     0.01          99.99       99.99           20.53        0.07             99.99               99.99                   2.90                0.07                    99.99            99.99                99.99               99.99                   1.29                  0.09                    
Q1623-BX599        99.99     99.99         23.54     0.01          99.99       99.99           19.92        0.04             99.99               99.99                   3.62                0.04                    99.99            99.99                99.99               99.99                   2.07                  0.08                    
Q1623-BX663        99.99     99.99         24.26     0.02          21.43       0.10            19.91        0.04             99.99               99.99                   4.35                0.05                    99.99            99.99                99.99               99.99                   2.57                  0.12                    
SSA22a-MD41        99.99     99.99         23.27     0.02          21.27       0.05            20.42        0.36             99.99               99.99                   2.85                0.36                    99.99            99.99                99.99               99.99                   99.99                 99.99                   
Q2343-BX389        99.99     99.99         25.00     0.05          21.75       0.10            20.17        0.05             99.99               99.99                   4.83                0.07                    99.99            99.99                99.99               99.99                   2.72                  0.14                    
Q2343-BX513        99.99     99.99         24.00     0.02          99.99       99.99           20.09        0.05             99.99               99.99                   3.91                0.05                    99.99            99.99                99.99               99.99                   1.85                  0.08                    
Q2343-BX610        99.99     99.99         23.79     0.02          20.73       0.06            19.20        0.02             99.99               99.99                   4.59                0.03                    99.99            99.99                99.99               99.99                   2.22                  0.04                    
Q2346-BX404        99.99     99.99         23.47     0.01          99.99       99.99           20.04        0.13             99.99               99.99                   3.42                0.13                    99.99            99.99                99.99               99.99                   99.99                 99.99                   
Q2346-BX405        99.99     99.99         23.34     0.01          99.99       99.99           20.26        0.15             99.99               99.99                   3.08                0.15                    99.99            99.99                99.99               99.99                   99.99                 99.99                   
Q2346-BX416        99.99     99.99         23.79     0.02          99.99       99.99           20.29        0.16             99.99               99.99                   3.49                0.16                    99.99            99.99                99.99               99.99                   99.99                 99.99                   
Q2346-BX482        99.99     99.99         23.44     0.02          20.98       0.07            99.99        99.99            99.99               99.99                   99.99               99.99                   99.99            99.99                99.99               99.99                   99.99                 99.99                   
K20-ID5            24.37     0.04          99.99     99.99         20.11       0.02            19.03        0.01             5.34                0.04                    99.99               99.99                   1.45             0.05                 2.03                0.03                    2.28                  0.03                    
K20-ID6            24.83     0.09          99.99     99.99         21.32       0.06            20.27        0.04             4.56                0.10                    99.99               99.99                   1.18             0.11                 1.52                0.08                    1.87                  0.07                    
K20-ID7            23.85     0.06          99.99     99.99         20.78       0.06            19.61        0.03             4.24                0.06                    99.99               99.99                   0.87             0.08                 1.51                0.06                    1.90                  0.05                    
K20-ID8            24.27     0.07          99.99     99.99         21.00       0.06            19.91        0.03             4.36                0.08                    99.99               99.99                   0.96             0.08                 1.54                0.06                    1.89                  0.06                    
K20-ID9            24.65     0.08          99.99     99.99         21.35       0.06            20.39        0.06             4.26                0.10                    99.99               99.99                   1.16             0.10                 1.24                0.09                    1.70                  0.09                    
D3a-4751           23.72     0.01          99.99     99.99         99.99       99.99           20.00        0.11             3.72                0.11                    99.99               99.99                   0.57             0.02                 1.29                0.11                    2.10                  0.18                    
D3a-6004           25.55     0.04          99.99     99.99         99.99       99.99           18.93        0.05             6.62                0.07                    99.99               99.99                   1.84             0.05                 2.92                0.05                    2.77                  0.09                    
D3a-6397           23.51     0.01          99.99     99.99         99.99       99.99           18.10        0.02             5.42                0.03                    99.99               99.99                   1.63             0.01                 1.93                0.03                    1.81                  0.03                    
D3a-7144           24.55     0.01          99.99     99.99         99.99       99.99           18.69        0.03             5.86                0.04                    99.99               99.99                   1.74             0.02                 2.26                0.04                    1.87                  0.04                    
D3a-7429           99.99     99.99         99.99     99.99         99.99       99.99           99.99        99.99            99.99               99.99                   99.99               99.99                   99.99            99.99                99.99               99.99                   99.99                 99.99                   
D3a-12556          23.24     0.01          99.99     99.99         99.99       99.99           19.28        0.05             3.96                0.05                    99.99               99.99                   0.75             0.01                 1.35                0.05                    1.39                  0.06                    
D3a-15504          23.53     0.01          99.99     99.99         99.99       99.99           19.17        0.06             4.37                0.06                    99.99               99.99                   0.72             0.01                 1.79                0.06                    1.82                  0.09                    
GMASS-167          24.19     0.11          99.99     99.99         21.62       0.12            21.13        0.12             3.06                0.16                    99.99               99.99                   0.95             0.15                 0.25                0.16                    1.12                  0.17                    
GMASS-1084         25.27     0.14          99.99     99.99         20.49       0.05            19.31        0.05             5.96                0.15                    99.99               99.99                   1.55             0.16                 2.55                0.09                    2.36                  0.08                    
GMASS-1146         24.74     0.09          99.99     99.99         20.97       0.06            20.01        0.06             4.73                0.11                    99.99               99.99                   1.34             0.11                 1.53                0.09                    1.86                  0.09                    
GMASS-1274         25.16     0.12          99.99     99.99         21.57       0.08            20.65        0.05             4.51                0.13                    99.99               99.99                   0.97             0.15                 1.68                0.10                    1.92                  0.10                    
GMASS-2090         24.69     0.10          99.99     99.99         22.03       0.13            20.75        0.09             3.94                0.14                    99.99               99.99                   0.88             0.14                 1.20                0.13                    2.13                  0.17                    
GMASS-2113W        25.89     0.25          99.99     99.99         20.61       0.07            19.84        0.05             6.05                0.25                    99.99               99.99                   1.99             0.26                 2.20                0.09                    1.88                  0.09                    
GMASS-2113E        24.58     0.03          99.99     99.99         21.61       0.06            21.16        0.09             3.42                0.10                    99.99               99.99                   0.57             0.05                 0.98                0.10                    1.25                  0.10                    
GMASS-2207         24.85     0.16          99.99     99.99         22.16       0.21            21.38        0.18             3.47                0.24                    99.99               99.99                   0.66             0.23                 0.95                0.24                    1.45                  0.25                    
GMASS-2252         25.15     0.14          99.99     99.99         21.59       0.15            20.29        0.07             4.86                0.16                    99.99               99.99                   1.06             0.17                 1.94                0.12                    2.42                  0.16                    
GMASS-2303         24.43     0.11          99.99     99.99         21.92       0.15            20.92        0.11             3.51                0.16                    99.99               99.99                   0.66             0.15                 0.99                0.15                    2.13                  0.19                    
GMASS-2363         25.57     0.18          99.99     99.99         21.74       0.14            20.81        0.09             4.76                0.20                    99.99               99.99                   1.39             0.21                 1.51                0.14                    1.78                  0.16                    
GMASS-2438         24.40     0.08          99.99     99.99         20.60       0.06            20.02        0.06             4.38                0.10                    99.99               99.99                   1.17             0.10                 1.35                0.09                    1.63                  0.09                    
GMASS-2443         24.49     0.08          99.99     99.99         20.91       0.07            19.88        0.05             4.61                0.09                    99.99               99.99                   0.68             0.11                 2.07                0.09                    2.24                  0.09                    
GMASS-2454         24.59     0.08          99.99     99.99         20.79       0.07            20.03        0.06             4.56                0.10                    99.99               99.99                   1.11             0.11                 1.59                0.09                    1.88                  0.09                    
GMASS-2471         24.03     0.12          99.99     99.99         21.03       0.12            20.34        0.13             3.69                0.18                    99.99               99.99                   0.90             0.16                 0.93                0.17                    1.58                  0.18                    
GMASS-2540         23.70     0.08          99.99     99.99         20.56       0.08            19.94        0.08             3.76                0.11                    99.99               99.99                   0.85             0.11                 1.05                0.11                    1.23                  0.11                    
GMASS-2550         24.20     0.10          99.99     99.99         21.30       0.10            20.60        0.09             3.60                0.14                    99.99               99.99                   0.80             0.14                 0.94                0.13                    1.38                  0.14                    
GMASS-2562         25.26     0.16          99.99     99.99         21.36       0.13            20.72        0.14             4.54                0.21                    99.99               99.99                   1.34             0.20                 1.34                0.18                    1.99                  0.20                    
GMASS-2573         25.57     0.19          99.99     99.99         20.48       0.06            19.59        0.06             5.98                0.20                    99.99               99.99                   2.18             0.20                 1.94                0.09                    1.85                  0.09                    
GMASS-2578         25.38     0.14          99.99     99.99         21.10       0.08            19.96        0.06             5.42                0.15                    99.99               99.99                   1.12             0.17                 2.44                0.12                    2.46                  0.11                    
ZC-772759          24.89     0.03          99.99     99.99         99.99       99.99           20.14        0.06             4.75                0.07                    99.99               99.99                   1.11             0.08                 1.78                0.09                    1.83                  0.14                    
ZC-782941          23.57     0.01          99.99     99.99         99.99       99.99           19.64        0.04             3.93                0.04                    99.99               99.99                   0.86             0.02                 1.21                0.05                    1.64                  0.11                    
ZC-946803          25.23     0.04          99.99     99.99         99.99       99.99           19.59        0.04             5.64                0.06                    99.99               99.99                   1.45             0.07                 2.33                0.07                    2.35                  0.17                    
ZC-1101592         23.82     0.01          99.99     99.99         99.99       99.99           18.85        0.02             4.97                0.02                    99.99               99.99                   1.41             0.02                 1.70                0.03                    1.77                  0.05                    
SA12-5241          24.26     0.05          99.99     99.99         20.16       0.18            19.73        0.23             4.53                0.23                    99.99               99.99                   0.95             0.10                 1.72                0.25                    99.99                 99.99                   
SA12-5836          26.11     0.25          99.99     99.99         19.65       0.13            18.94        0.16             7.17                0.30                    99.99               99.99                   3.30             0.25                 2.02                0.17                    99.99                 99.99                   
SA12-6192          24.06     0.04          99.99     99.99         19.86       0.15            19.85        0.25             4.21                0.25                    99.99               99.99                   0.38             0.13                 1.97                0.28                    99.99                 99.99                   
SA12-6339          25.23     0.11          99.99     99.99         21.99       1.00            20.14        0.32             5.09                0.34                    99.99               99.99                   -0.06            1.00                 3.29                1.00                    99.99                 99.99                   
SA12-7672          26.10     0.25          99.99     99.99         20.02       0.16            19.16        0.18             6.94                0.31                    99.99               99.99                   0.81             1.00                 4.27                1.00                    99.99                 99.99                   
SA12-8768          25.38     0.13          99.99     99.99         21.99       1.00            20.10        0.28             5.28                0.31                    99.99               99.99                   0.09             1.00                 3.33                1.00                    99.99                 99.99                   
SA12-8768NW        99.99     99.99         99.99     99.99         99.99       99.99           99.99        99.99            99.99               99.99                   99.99               99.99                   99.99            99.99                99.99               99.99                   99.99                 99.99                   
SA15-5365          24.23     0.07          99.99     99.99         20.30       0.32            19.32        0.12             4.91                0.14                    99.99               99.99                   0.99             0.16                 2.06                0.18                    99.99                 99.99                   
SA15-7353          27.14     1.00          99.99     99.99         20.88       0.46            19.87        0.20             7.27                1.00                    99.99               99.99                   3.28             1.00                 2.13                0.30                    99.99                 9.99                    
