#Table: J/A+A/437/883/catalog.dat (cdsarc.u-strasbg.fr)
--------------------------------------------------------------------------------------------
           | R  R          D  D      |     |    |        | Cl|                 |
Seq        |Ah Am    RAs  Ed Em   DEs|Ksmag| R-K|    z q_|ass|FileName         |Com
-----------|-------------------------|-----|----|--------|---|-----------------|------------
CDFS_00008 |03 32 31.756 -27 48 39.36|19.50|5.16|0.996  1|3  |                 |NOT OBSERVED
CDFS_00011 |03 32 12.885 -27 48 40.28|19.62|3.01|0.667  1|2  |speCDF_00011.fits|FITS file
CDFS_00012 |03 32 35.049 -27 48 44.49|18.42|3.99|0.000  1|0  |speCDF_00012.fits|FITS file
CDFS_00014 |03 32 32.237 -27 48 45.54|18.39|3.07|0.535  1|2  |speCDF_00014.fits|FITS file
CDFS_00015 |03 32 30.553 -27 48 36.39|20.00|3.81|0.549  1|2  |speCDF_00015.fits|FITS file
CDFS_00016 |03 32 29.974 -27 48 39.40|17.92|3.44|0.000  1|0  |speCDF_00016.fits|FITS file
CDFS_00019 |03 32 37.547 -27 48 38.77|18.32|2.93|0.665  1|2  |speCDF_00019.fits|FITS file
CDFS_00022 |03 32 37.175 -27 48 33.86|19.89|4.10|1.072  0|-  |speCDF_00022.fits|FITS file
CDFS_00024 |03 32 12.351 -27 48 35.66|18.62|3.12|0.562  1|2  |speCDF_00024.fits|FITS file
CDFS_00026 |03 32 18.747 -27 48 33.91|19.46|2.24|0.287  1|2  |speCDF_00026.fits|FITS file
CDFS_00034 |03 32 20.481 -27 48 29.25|18.96|4.10|1.108  1|2  |speCDF_00034.fits|FITS file
CDFS_00036 |03 32 19.933 -27 48 31.22|18.42|4.39|0.666  1|1  |speCDF_00036.fits|FITS file
CDFS_00038 |03 32 15.478 -27 48 26.40|19.85|2.00|0.077  1|2  |speCDF_00038.fits|FITS file
CDFS_00039 |03 32 19.260 -27 48 30.22|18.87|2.54|0.288  1|2  |speCDF_00039.fits|FITS file
CDFS_00040 |03 32 19.607 -27 48 30.98|19.55|2.63|0.669  1|2  |speCDF_00040.fits|FITS file
