# ID              RA_HMS           DEC_DMS         z            MAG_R   MAGERR_R     G_minus_R  e_G_minus_R  U_minus_G  e_U_minus_G  R_minus_K  e_R_minus_K  MAG_IRAC1  MAGERR_IRAC1  MAG_IRAC2  MAGERR_IRAC2  MAG_IRAC3  MAGERR_IRAC3  MAG_IRAC4  MAGERR_IRAC4
Q1700-BX627       17:00:34.435     64:11:29.699    1.478        24.44       0.14        -0.10      0.05        0.12       0.05        2.36       0.51        99.99      99.99         23.63       0.18         99.99      99.99         99.99      99.99
Q1700-BX738       17:01:16.150     64:12:36.684    1.710        23.93       0.12        0.01       0.04        0.49       0.09        3.29       0.15        22.11       0.10         22.15       0.10         22.56       0.29         23.07       0.49
Q1700-BX756       17:00:55.146     64:12:54.403    1.738        23.21       0.11        0.33       0.05        0.58       0.09        2.41       0.23        99.99      99.99         21.82       0.10         99.99      99.99         21.55       0.15
Q1700-BX681       17:01:33.762     64:12:04.278    1.740        22.04       0.05        0.19       0.01        0.40       0.02        2.99       0.08        21.02       0.10         21.08       0.10         21.16       0.18         21.35       0.14
Q1700-BX843       17:01:15.627     64:13:52.891    1.771        24.61       0.16        0.18       0.08        0.51       0.11        3.26       0.31        22.95       0.34         22.80       0.10         99.99      99.99         99.99      99.99
Q1700-BX470       17:01:26.563     64:09:31.993    1.841        24.26       0.14        0.38       0.07        0.75       0.13        4.20       0.11        21.44       0.10         21.45       0.10         21.30       0.10         21.69       0.13
Q1700-BX846       17:01:02.925     64:13:54.470    1.843        23.91       0.12        0.09       0.04        0.48       0.09        3.18       0.18        99.99      99.99         22.13       0.10         99.99      99.99         22.15       0.33
Q1700-BX574       17:00:46.904     64:10:49.536    1.846        24.10       0.14        0.24       0.07        0.73       0.10        3.43       0.19        22.31       0.10         22.27       0.10         22.06       0.22         22.99       0.36
Q1700-BX1043      17:01:17.328     64:15:29.170    1.847        23.54       0.12        -0.01      0.05        0.53       0.09        2.34       0.42        99.99      99.99         22.78       0.24         99.99      99.99         99.99      99.99
Q1700-BX1087      17:00:59.047     64:15:55.195    1.871        23.10       0.11        0.12       0.04        0.59       0.08        2.85       0.15        99.99      99.99         21.93       0.10         99.99      99.99         99.99      99.99
