# ID            z       logMstar_CSFH  e_logMstar_CSFH    EBV_CSFH  SFR_CSFH  Age_CSFH   logMstar_tSFH  e_logMstar_tSFH   EBV_tSFH  SFR_tSFH  Age_tSFH  tau_tSFH
Q1700-BX627     1.478           9.42        0.36          0.05             7       404           9.42        0.43         0.05             7       404     const
Q1700-BX738     1.710          10.40        0.09          0.10            20      1278          10.35        0.05         0.00             4       404       100
Q1700-BX756     1.738           9.76        0.05          0.34           377        15           9.76        0.05         0.34           377        15     const
Q1700-BX681     1.740          10.50        0.24          0.21           246       128          10.65        0.03         0.08             1        81        10
Q1700-BX843     1.771           9.89        0.23          0.21            24       321          10.06        0.14         0.04             1       255        50
Q1700-BX470     1.841          10.81        0.09          0.30            64      1015          10.75        0.07         0.23            24       321       100
Q1700-BX846     1.843          10.44        0.10          0.12            27      1015          10.39        0.08         0.03             7       360       100
Q1700-BX574     1.846          10.16        0.19          0.24            51       286          10.34        0.10         0.06             3       255        50
Q1700-BX1043    1.847           9.91        0.25          0.10            32       255           9.94        0.10         0.00             0        90        10
Q1700-BX1087    1.871          10.24        0.11          0.15            68       255          10.31        0.08         0.04             3       114        20
Q1700-BX1032    1.883          10.08        0.16          0.20            53       227          10.12        0.11         0.10             4       102        20
Q1700-BX782     1.930          10.39        0.11          0.10            24      1015          10.33        0.07         0.00             6       360       100
Q1700-BX530     1.942           9.84        0.21          0.34           699        10          10.29        0.09         0.08             1        72        10
Q1700-BX807     1.971           9.86        0.16          0.10            10       719           9.85        0.14         0.01             3       321       100
Q1700-BX903     1.976          10.10        0.16          0.14            22       571          10.11        0.20         0.10            13       360       200
Q1700-BX536     1.977          10.65        0.06          0.23           138       321          10.74        0.06         0.09            20       203        50
Q1700-BX412     1.981          10.24        0.18          0.20            61       286          10.28        0.15         0.12            16       161        50
Q1700-BX526     2.018          10.06        0.15          0.04            16       719           9.97        0.18         0.00             8       255       100
Q1700-BX1075    2.061           8.98        0.31          0.30           115         8           8.97        0.31         0.30            88         7        10
Q1700-BX625     2.078          10.04        0.12          0.07            12       905          10.02        0.10         0.01             6       454       200
Q1700-BX592     2.099           9.30        0.22          0.37           199        10           9.82        0.24         0.12             2       102        20
Q1700-BX535     2.113           9.48        0.24          0.43           199        15          10.00        0.29         0.23             1        72        10
Q1700-BX1012    2.115          10.10        0.20          0.07            25       509          10.06        0.19         0.01            10       255       100
Q1700-BX691     2.190          11.04        0.03          0.29            40      2750          11.14        0.05         0.13             9      2750      1000
Q1700-BX1118    2.214           9.97        0.20          0.07            13       719           9.86        0.20         0.00             4       286       100
Q1700-BX1047    2.231          10.71        0.12          0.26            50      1015          10.67        0.07         0.12             8       404       100
Q1700-BX1084    2.245          11.09        0.11          0.26           120      1015          10.92        0.09         0.10            15       404       100
Q1700-BX931     2.246          10.19        0.27          0.27            38       404          10.24        0.27         0.20            15       255       100
Q1700-BX794     2.253           9.49        0.36          0.29           430         7           9.45        0.41         0.28           265         7        10
Q1700-BX1030    2.285          10.65        0.17          0.27            39      1139          10.58        0.17         0.23            22       454       200
Q1700-BX709     2.285          10.37        0.17          0.10            10      2400          10.37        0.27         0.10            10      2400     const
Q1700-BX898     2.286          10.73        0.11          0.10            20      2750          10.73        0.21         0.10            20      2750     const
Q1700-MD69      2.289          11.46        0.02          0.35           105      2750          11.51        0.05         0.24            40      2200      1000
Q1700-BX810     2.290          10.51        0.12          0.20            29      1139          10.41        0.09         0.01             3       454       100
Q1700-MD157     2.293          11.03        0.07          0.28            66      1609          10.89        0.07         0.21            22       360       100
Q1700-MD109     2.294          10.48        0.17          0.17            14      2100          10.48        0.25         0.17            14      2100     const
Q1700-BX563     2.296          10.57        0.23          0.21            92       404          10.57        0.28         0.21            92       404     const
Q1700-BX939     2.296          10.23        0.15          0.16            27       640          10.28        0.11         0.00             3       404       100
Q1700-BX984     2.299          10.65        0.07          0.12            44      1015          10.55        0.05         0.01            10       360       100
Q1700-BX919     2.301           9.84        0.21          0.07            17       404           9.74        0.26         0.00             5       161        50
Q1700-BX917     2.302          10.96        0.07          0.18            33      2750          10.86        0.09         0.14            22      1015       500
Q1700-BX1133    2.303          10.37        0.12          0.10            20      1139          10.27        0.11         0.01             5       360       100
Q1700-BX879     2.308          10.03        0.10          0.42          1473         7          10.02        0.13         0.41          1380         7       100
Q1700-BX505     2.309          10.79        0.13          0.28            38      1609          10.73        0.08         0.20            16       571       200
Q1700-BX585     2.311          10.03        0.28          0.11            17       640           9.99        0.26         0.01             4       321       100
Q1700-MD103     2.315          11.07        0.13          0.28           103      1139          10.96        0.13         0.21            38       321       100
Q1700-BX532     2.331          11.26        0.03          0.14            65      2750          11.33        0.08         0.09            36      2750      2000
Q1700-MD94      2.333          11.52        0.10          0.49           324      1015          11.43        0.10         0.42           113       321       100
Q1700-BX772     2.346          10.07        0.18          0.10            12      1015          10.06        0.16         0.03             5       509       200
Q1700-MD174     2.347          11.59        0.04          0.34           140      2750          11.65        0.05         0.20            40      2500      1000
Q1700-BX490     2.403           9.92        0.12          0.29           835        10           9.88        0.33         0.28           506         9        10
Q1700-BX581     2.406          10.37        0.11          0.11            33       719          10.36        0.10         0.10            26       509       500
Q1700-BX759     2.418          10.52        0.22          0.23            73       454          10.52        0.28         0.23            73       454     const
