# Field     ID         RA             Dec            MAG_F160W    zphot       zspec     flux        QF     EW_Lya   beta      M_UV      r_e    sel      comm.
UDS         1920       34.4887581     -5.2656999     25.20        6.560       6.565     3.3e-18     B      3        -2.95     -21.93    0.12   "1,3"    "Lya"
UDS         4812       34.4757347     -5.2484999     25.87        6.566       6.561     1.9e-17     A      44       -2.37     -20.99    0.15   "1,3"    "Lya"
UDS         4872       34.4820328     -5.2481742     25.49        6.563       6.564     5.1e-18     A/B    10       -1.76     -21.30    0.10   "1,3"    "Lya"
UDS         12123      34.4674568     -5.2081060     25.03        1.261       5.903     6.5e-18     A      nan      -1.09     -21.35    0.14   "2"      "Lya"
UDS         14549      34.4828377     -5.1953101     26.75        6.233       6.033     5.1e-18     B      20       -2.19     -20.12    0.04   "2,3"    "Lya"
UDS         14715      34.4671059     -5.1944642     25.74        6.413       6.578     1.3e-18     C      4        -1.21     -20.87    0.25   "1,3"    "Lya"
UDS         14846      34.5037651     -5.1938372     25.59        5.912       6.028     4.8e-17     A      11       -0.93     -20.62    0.09   "2,3"    "Lya"
UDS         14990      34.3546486     -5.1930451     26.54        6.193       6.297     7.7e-18     A/B    12       -2.84     -20.49    0.19   "2,3"    "Lya"
UDS         15559      34.2315788     -5.1897931     26.17        6.073       6.044     7.9e-18     A      79       -1.98     -21.01    0.19   "2,3"    "Lya"
UDS         16291      34.3561440     -5.1856260     25.87        6.967       6.638     1.5e-18     B/C    6        -2.47     -20.98    0.18   "3"      "Lya"
UDS         18087      34.3972206     -5.1756892     25.65        5.974       6.119     3.2e-17     A      47       -2.14     -21.22    0.07   "2,3"    "Lya"
UDS         18131      34.4512749     -5.1754861     25.493       5.985       5.81      0.0          C     <4       -1.74     -21.03    0.08   "2,3"    "break"
UDS         18915      34.2780228     -5.1713920     25.59        5.859       5.58      0.0         C      <1.5     -2.62     -20.69    0.39   "2,3"    "break"
UDS         19841      34.3490982     -5.1662178     26.34        6.370       6.836     5.0e-18     A/B    18       -1.27     -20.33    0.32   "2,3"    "Lya"
UDS         23719      34.3104324     -5.1456208     26.79        5.198       5.683     9.9e1-8     A      64       -2.36     -20.03    0.17   "2,3"    "Lya"
UDS         23802      34.2283478     -5.1474319     26.18        6.884       6.634     1.7e-18     B/C    7        -2.20     -20.63    0.21   "1,3"    "Lya"
UDS         25826      34.2333316     -5.1364809     25.45        5.928       5.83      0.0         C      <2       -2.10     -21.25    0.26   "2,3"    "break"
